country,life_expectancy,hdi,per_capita_gdp,region,income_group,pop,total_prod,total_cons,number_of_countries_required,number_of_earths_required,overshoot_day
Montenegro,76.77,0.826,8179.748662821381,Other Europe,UM,0.627809020996094,2.42677163776398,4.22877102992449,1.684068102577547,2.672000215305592,136
United Kingdom,81.2561,0.928,42894.35426799058,EU,HI,67.141703125,2.67110098481813,4.17932377823987,4.066811462695741,2.640756370175975,138
Greece,81.7878,0.881,24044.400914621503,EU,HI,10.522200195312399,3.02146419221033,4.09905529778682,3.5088248495116896,2.5900377581879823,140
French Polynesia,77.462,NA,NA,Asia-Pacific,HI,0.27767898559570303,2.12409540162839,3.995740717582,3.0601062145592888,2.5247571888220843,144
Barbados,79.081,0.81,16136.910427427767,Central America/Caribbean,HI,0.286640991210937,1.90415041576049,3.96965506871852,21.323188336027528,2.508274655507707,145
Bosnia and Herzegovina,77.262,0.777,6096.909506752836,Other Europe,UM,3.32392993164062,3.91151732558748,3.89223293778533,1.9467862303114287,2.4593545439530753,148
Croatia,78.0707,0.848,15707.704151177855,Other Europe,HI,4.156399902343741,3.0699675554507,3.88086457270814,1.370123569010674,2.4521713047284943,148
Hungary,76.0659,0.85,16894.15400463559,EU,HI,9.7075,3.85271357150763,3.86586974950499,1.5032680159811362,2.4426966439952076,149
Cyprus,80.828,0.885,23394.93936874519,EU,HI,1.18927001953125,2.0992040652454,3.85016788334156,18.705008992689955,2.4327752296002236,150
South Africa,NA,0.707,7440.41181814248,Africa,UM,57.792500000000096,3.39009484139315,3.80046224672128,3.8150532815312945,2.401368120818157,151
China,76.704,0.755,7468.925159999503,Asia-Pacific,UM,1459.3799999999899,3.45243319283268,3.79673334803674,4.111700130528246,2.399011971001239,152
Bulgaria,74.9634,0.813,8642.040779556573,EU,UM,7.05160986328126,4.59188889824195,3.62106987906888,1.105230664343293,2.288016879618429,159
Guadeloupe,NA,NA,NA,Central America/Caribbean,NA,0.39984799194335796,2.11442702754376,3.61729827220633,7.023948243336547,2.2856337441217405,159
Romania,75.3585,0.823,11534.853430762852,EU,UM,19.5060996093749,3.74056016221833,3.58438499339697,1.1277888900526802,2.2648370900956194,161
Martinique,NA,NA,NA,Central America/Caribbean,NA,0.375673004150389,2.02918070771243,3.49389618229202,8.56210095602332,2.2076606383454074,165
Guyana,69.774,0.68,5825.025876670446,South America,LM,0.7790059814453121,2.96130069297222,3.40717658192454,0.04686417745086942,2.1528658080712177,169
Turkey,77.437,0.817,15180.938282559579,Middle East/Central Asia,UM,82.3401015625,2.77752679793533,3.34522350735326,2.5640875436290727,2.1137200072175215,172
Argentina,76.52,0.842,10076.39540623727,South America,UM,44.3611015625,5.07607958722639,3.31174609785516,0.5359110592103782,2.092566900380145,174
Libyan Arab Jamahiriya,72.724,0.721,8038.589086418168,Africa,UM,6.67856005859375,2.92024678595166,3.28113460730195,5.475393974507899,2.0732246591544565,176
"Iran, Islamic Republic of",76.479,0.785,6442.526789263397,Middle East/Central Asia,UM,81.800203125,3.3115060207748,3.25852471530005,4.493475364472881,2.058938324928838,177
Mauritius,74.4163,0.801,10561.400120607126,Africa,UM,1.26718994140624,1.76567105045984,3.22000230315406,4.827449905982346,2.0345974720380604,179
Bolivia,71.239,0.714,2559.5212761107537,South America,LM,11.353099609375,3.18995016961059,3.108502042975,0.21820765509014142,1.9641446815944978,185
Republic of North Macedonia,75.688,0.77,5452.001100822315,Other Europe,UM,2.08295996093749,2.02319535877495,3.09760168324349,2.0745672135155835,1.9572571572184088,186
